Range	Count	Percentage
0–80	52	7.98%
80–160	63	9.66%
160–240	33	5.06%
240–320	52	7.98%
320–400	6	0.92%
400–480	48	7.36%
480–560	94	14.42%
560–640	40	6.13%
640–720	29	4.45%
720–800	16	2.45%
800–880	37	5.67%
880–960	8	1.23%
960–1040	97	14.88%
1040–1120	2	0.31%
1120–1200	0	0.00%
1200–1280	7	1.07%
1280–1360	8	1.23%
1360–1440	1	0.15%
1440–1520	54	8.28%
1520–1600	0	0.00%
1600–1680	0	0.00%
1680–1760	0	0.00%
1760–1840	0	0.00%
1840–1920	0	0.00%
1920–2000	0	0.00%
2000–2080	4	0.61%
2080–2160	0	0.00%
2160–2240	0	0.00%
2240–2320	1	0.15%
