Range	Count	Percentage
0–90	56	7.84%
90–180	150	21.01%
180–270	170	23.81%
270–360	103	14.43%
360–450	55	7.70%
450–540	85	11.90%
540–630	27	3.78%
630–720	7	0.98%
720–810	16	2.24%
810–900	0	0.00%
900–990	1	0.14%
990–1080	30	4.20%
1080–1170	0	0.00%
1170–1260	5	0.70%
1260–1350	1	0.14%
1350–1440	0	0.00%
1440–1530	4	0.56%
1530–1620	0	0.00%
1620–1710	0	0.00%
1710–1800	0	0.00%
1800–1890	0	0.00%
1890–1980	0	0.00%
1980–2070	3	0.42%
2070–2160	0	0.00%
2160–2250	0	0.00%
2250–2340	0	0.00%
2340–2430	0	0.00%
2430–2520	1	0.14%
