Range	Count	Percentage
0.96-1.44	9	1.42%
1.44-1.92	48	7.58%
1.92-2.40	46	7.27%
2.40-2.88	99	15.64%
2.88-3.36	159	25.12%
3.36-3.84	74	11.69%
3.84-4.32	31	4.90%
4.32-4.80	44	6.95%
4.80-5.28	39	6.16%
5.28-5.76	5	0.79%
5.76-6.24	23	3.63%
6.24-6.72	4	0.63%
6.72-7.20	3	0.47%
7.20-7.68	2	0.32%
7.68-8.16	11	1.74%
8.16-8.64	5	0.79%
8.64-9.12	2	0.32%
9.12-9.60	1	0.16%
9.60-10.08	20	3.16%
10.08-10.56	0	0.00%
10.56-11.04	2	0.32%
11.04-11.52	0	0.00%
11.52-12.00	0	0.00%
12.00-12.48	1	0.16%
12.48-12.96	0	0.00%
12.96-13.44	1	0.16%
13.44-13.92	0	0.00%
13.92-14.40	0	0.00%
14.40-14.88	1	0.16%
14.88-15.36	0	0.00%
15.36-15.84	0	0.00%
15.84-16.32	0	0.00%
16.32-16.80	0	0.00%
16.80-17.28	0	0.00%
17.28-17.76	0	0.00%
17.76-18.24	1	0.16%
18.24-18.72	1	0.16%
18.72-19.20	0	0.00%
19.20-19.68	0	0.00%
19.68-20.16	0	0.00%
20.16-20.64	0	0.00%
20.64-21.12	0	0.00%
21.12-21.60	0	0.00%
21.60-22.08	0	0.00%
22.08-22.56	0	0.00%
22.56-23.04	0	0.00%
23.04-23.52	0	0.00%
23.52-24.00	0	0.00%
24.00-24.48	0	0.00%
24.48-24.96	1	0.16%
