TRP: S, Date: 2023-05-07, Callsign: DL5FCW, Grid locator: JO40EA, Coord: (50.0, 8.33)
TRP: S, Date: 2023-04-07, Callsign: 5XA1J/P, Grid locator: KJ60gh, Coord: (0.29, 32.5)
TRP: S, Date: 2023-03-21, Callsign: 9X3SE/P, Grid locator: KI58ba, Coord: (-2.0, 30.08)
TRP: S, Date: 2023-03-21, Callsign: DL25KYF, Grid locator: JO32ma, Coord: (52.0, 7.0)
TRP: S, Date: 2023-03-21, Callsign: EG8GCC, Grid locator: IL18ul, Coord: (28.46, -16.33)
TRP: S, Date: 2023-03-21, Callsign: II4ANC, Grid locator: JN54aa, Coord: (44.0, 10.0)
TRP: S, Date: 2023-03-21, Callsign: IK0WMJ, Grid locator: JN61GW, Coord: (41.92, 12.5)
TRP: S, Date: 2023-03-21, Callsign: IK2GRA, Grid locator: JN54NX, Coord: (44.96, 11.08)
TRP: S, Date: 2023-03-21, Callsign: IQ0AAI, Grid locator: JN40GO, Coord: (40.58, 8.5)
TRP: S, Date: 2023-03-21, Callsign: IZ6JPK, Grid locator: JN63PH, Coord: (43.29, 13.25)
TRP: S, Date: 2023-03-21, Callsign: PA900RAALTE, Grid locator: JO22ma, Coord: (52.0, 5.0)
TRP: S, Date: 2023-03-21, Callsign: SN550I, Grid locator: KO02mf, Coord: (52.21, 21.0)
TRP: S, Date: 2023-03-21, Callsign: SP5UFK, Grid locator: KO02mf, Coord: (52.21, 21.0)
TRP: S, Date: 2023-03-21, Callsign: SV9FBG, Grid locator: KM25UA, Coord: (35.0, 25.67)
TRP: S, Date: 2023-03-21, Callsign: SV9RGI, Grid locator: KM25UA, Coord: (35.0, 25.67)
TRP: S, Date: 2023-03-21, Callsign: TO947QO, Grid locator: JN19aa, Coord: (49.0, 2.0)
TRP: S, Date: 2023-03-21, Callsign: VP0GAA, Grid locator: HD15rr, Coord: (-54.29, -36.58)
TRP: S, Date: 2023-03-21, Callsign: VU4T, Grid locator: NK61jq, Coord: (11.67, 92.75)
TRP: S, Date: 2023-03-21, Callsign: YB1TIA, Grid locator: OI33CU, Coord: (-6.17, 106.17)
TRP: S, Date: 2023-03-21, Callsign: YO3DAX, Grid locator: KN34bk, Coord: (44.42, 26.08)
TRP: S, Date: 2023-03-21, Callsign: ZP/PY5ZUE, Grid locator: GG14er, Coord: (-25.29, -57.67)
TRP: S, Date: 2023-03-21, Callsign: ZP4/PY55ZUE, Grid locator: GG16ma, Coord: (-24.0, -57.0)
TRP: S, Date: 2023-03-21, Callsign: ZP4/PYZUE, Grid locator: GG16ma, Coord: (-24.0, -57.0)
TRP: S, Date: 2023-03-21, Callsign: ZS6AAG, Grid locator: KG44cg, Coord: (-25.75, 28.17)
TRP: S, Date: 2023-03-20, Callsign: IV3RAV, Grid locator: JN66NC, Coord: (46.08, 13.08)
TRP: S, Date: 2023-03-20, Callsign: IV3RYQ, Grid locator: JN65QT, Coord: (45.79, 13.33)
