TRP: S, Date: 2023-05-23, Callsign: SV2/DH7IF/P, Grid locator: KN11pc, Coord: (41.08, 23.15)
TRP: S, Date: 2023-05-23, Callsign: C7A, Grid locator: JN88, Coord: (48.0, 15.9)
TRP: S, Date: 2023-05-23, Callsign: 5Z4/OE3SEU/P, Grid locator: KJ92AH, Coord: (2.29, 37.9)
TRP: S, Date: 2023-05-07, Callsign: DH6MB, Grid locator: JO31PV, Coord: (51.88, 7.15)
TRP: S, Date: 2023-10-28, Callsign: DL5FCW, Grid locator: JO40EA, Coord: (50.0, 8.23)
TRP: S, Date: 2023-10-28, Callsign: DL5GAC, Grid locator: JN47, Coord: (47.0, 7.9)
TRP: S, Date: 2023-05-07, Callsign: EA8DEC, Grid locator: IL18SK, Coord: (28.42, -16.6)
TRP: S, Date: 2024-01-13, Callsign: F5RRS, Grid locator: JN36, Coord: (46.0, 5.9)
TRP: S, Date: 2023-10-28, Callsign: G0ABI, Grid locator: IO80, Coord: (50.0, -4.1)
TRP: S, Date: 2023-08-20, Callsign: G3OUA, Grid locator: IO90TU, Coord: (50.83, -0.52)
TRP: S, Date: 2024-01-13, Callsign: IK0USO, Grid locator: JN61, Coord: (41.0, 11.9)
TRP: S, Date: 2023-05-07, Callsign: OE6MDF, Grid locator: JN77XG, Coord: (47.25, 15.82)
TRP: S, Date: 2023-10-28, Callsign: OG7D, Grid locator: KP20DL, Coord: (60.46, 24.15)
TRP: S, Date: 2023-10-28, Callsign: OZ9AAR, Grid locator: JO45, Coord: (55.0, 7.9)
TRP: S, Date: 2023-10-28, Callsign: R5AO, Grid locator: KO86, Coord: (56.0, 35.9)
TRP: S, Date: 2023-09-10, Callsign: RA9DA, Grid locator: MO17, Coord: (57.0, 61.9)
TRP: S, Date: 2023-10-28, Callsign: S57NML, Grid locator: JN76OD, Coord: (46.12, 15.07)
TRP: S, Date: 2024-01-13, Callsign: SP9TTX, Grid locator: JO90SG, Coord: (50.25, 19.4)
TRP: S, Date: 2023-04-07, Callsign: 5XA1J/P, Grid locator: KJ60gh, Coord: (0.29, 32.4)
TRP: S, Date: 2024-01-13, Callsign: LA7XK, Grid locator: JO59LC, Coord: (59.08, 10.82)
TRP: S, Date: 2024-01-15, Callsign: 4Z5CP, Grid locator: KM72MT, Coord: (32.79, 34.9)
TRP: S, Date: 2023-03-28, Callsign: DF1VB, Grid locator: JO31SK, Coord: (51.42, 7.4)
TRP: S, Date: 2024-01-13, Callsign: DL4CH, Grid locator: JO43, Coord: (53.0, 7.9)
TRP: S, Date: 2024-01-13, Callsign: YL2GC, Grid locator: KO26AW, Coord: (56.92, 23.9)
TRP: S, Date: 2024-01-13, Callsign: CU3AA, Grid locator: HM68JP, Coord: (38.62, -27.35)
TRP: S, Date: 2023-09-10, Callsign: DJ8MS, Grid locator: JO54, Coord: (54.0, 9.9)
TRP: S, Date: 2023-09-10, Callsign: DL2GRC, Grid locator: JN48kn, Coord: (48.54, 8.73)
TRP: S, Date: 2023-03-27, Callsign: EA3BS, Grid locator: JN01XK, Coord: (41.42, 1.8199999999999998)
TRP: S, Date: 2023-03-27, Callsign: F4BKV, Grid locator: IN95PP, Coord: (45.62, -0.85)
TRP: S, Date: 2023-08-27, Callsign: IK5DFE, Grid locator: JN53MU, Coord: (43.83, 10.9)
TRP: S, Date: 2023-03-27, Callsign: ST2NH, Grid locator: KK65, Coord: (15.0, 31.9)
TRP: S, Date: 2023-03-27, Callsign: TA1D, Grid locator: KM56, Coord: (36.0, 29.9)
TRP: S, Date: 2024-01-13, Callsign: 3B8FA/P, Grid locator: LH80TA, Coord: (-20.0, 57.48)
TRP: S, Date: 2024-01-13, Callsign: 3B8HI, Grid locator: LG89ru, Coord: (-20.17, 57.32)
TRP: S, Date: 2023-03-26, Callsign: 3B8HI/P, Grid locator: LH80TA, Coord: (-20.0, 57.48)
TRP: S, Date: 2023-03-26, Callsign: A65TE, Grid locator: LL74el, Coord: (24.46, 54.23)
TRP: S, Date: 2023-03-26, Callsign: DL2QB, Grid locator: JO30, Coord: (50.0, 5.9)
TRP: S, Date: 2024-01-14, Callsign: SV2HZT, Grid locator: KN10, Coord: (40.0, 21.9)
TRP: S, Date: 2023-03-26, Callsign: TR8CA, Grid locator: JJ40QL, Coord: (0.46, 9.23)
TRP: S, Date: 2024-01-13, Callsign: ZB2GI, Grid locator: IM76HD, Coord: (36.12, -5.52)
TRP: S, Date: 2023-03-21, Callsign: 3B7M, Grid locator: LH93SE, Coord: (-16.83, 59.4)
TRP: S, Date: 2024-01-13, Callsign: 3B8GL, Grid locator: LG89RR, Coord: (-20.29, 57.32)
TRP: S, Date: 2023-03-21, Callsign: 3R8IC, Grid locator: LH43WA, Coord: (-17.0, 49.73)
TRP: S, Date: 2024-01-13, Callsign: 3X1A, Grid locator: IJ39, Coord: (9.0, -14.1)
TRP: S, Date: 2023-03-21, Callsign: 4L4CR, Grid locator: LN21fw, Coord: (41.92, 44.32)
TRP: S, Date: 2024-01-13, Callsign: 4O4A, Grid locator: JN92NC, Coord: (42.08, 18.979999999999997)
TRP: S, Date: 2023-03-21, Callsign: 4X02I, Grid locator: KM72ma, Coord: (32.0, 34.9)
TRP: S, Date: 2024-01-13, Callsign: 4X1AJ, Grid locator: KM71OG, Coord: (31.25, 35.07)
TRP: S, Date: 2023-03-21, Callsign: 4Z1RU, Grid locator: KM72OS, Coord: (32.75, 35.07)
TRP: S, Date: 2024-01-13, Callsign: 4Z5JJ, Grid locator: KM71, Coord: (31.0, 33.9)
TRP: S, Date: 2023-03-21, Callsign: 5B4AKV, Grid locator: KM65QD, Coord: (35.12, 33.23)
TRP: S, Date: 2023-03-21, Callsign: 5H3SE, Grid locator: KI93QD, Coord: (-6.88, 39.23)
TRP: S, Date: 2023-03-21, Callsign: 5H3SE/P, Grid locator: KI57QG, Coord: (-2.75, 31.229999999999997)
TRP: S, Date: 2023-03-21, Callsign: 5R8IC, Grid locator: LH43WA, Coord: (-17.0, 49.73)
TRP: S, Date: 2023-03-21, Callsign: 5R8IC/P, Grid locator: LH43WC, Coord: (-16.92, 49.73)
TRP: S, Date: 2023-03-21, Callsign: 5R8ICP, Grid locator: LH42VV, Coord: (-17.12, 49.65)
TRP: S, Date: 2023-03-21, Callsign: 7P8CMC, Grid locator: KG40KX, Coord: (-29.04, 28.729999999999997)
TRP: S, Date: 2023-03-21, Callsign: 9A4OP/P, Grid locator: JN75UR, Coord: (45.71, 15.57)
